"store","date","item","price","categories"
Family Foods,2014-04-07,Milk,2.59,"Dairy"
Family Foods,2014-04-07,Yogurt,5.99,"Dairy"
Family Foods,2014-04-07,Ice Cream,4.89,"Snack"
Family Foods,2014-04-07,Orange Juice,2.69,"Juice"
Family Foods,2014-04-07,Toaster Strudel,2.39,"Frozen"
Family Foods,2014-04-07,Water,0.98,"Water"
Family Foods,2014-04-07,Maple Syrup,5.49,"Breakfast"
Family Foods,2014-04-07,Dried Plums,2.99,"Fruit"
Family Foods,2014-04-07,Chicken Thighs,3.41,"Meat"
Family Foods,2014-04-07,Apples,3.49,"Fruit"
Family Foods,2014-04-07,Apples,1.31,"Fruit"
Walmart,2014-04-12,Bananas,1.02,"Fruit"
Walmart,2014-04-12,Canned Fruit,3.47,"Fruit"
Walmart,2014-04-12,Dog Food,4.55,"Pets"
Walmart,2014-04-12,Chicken,8.7,"Meat"
Walmart,2014-04-12,Honey Bunches of Oats,3.98,"Cereal"
Walmart,2014-04-12,tuna,1.56,"Fish"
Walmart,2014-04-12,straws,1,"Misc"
Walmart,2014-04-12,Kettle Chips,2.68,"Snack"
Walmart,2014-04-12,Bagels,2.98,"Bakery"
Walmart,2014-04-12,Hershey Chocolate,3.28,"Snack"
Walmart,2014-04-12,Kit Kat Bag,2.88,"Snack"
Walmart,2014-04-12,Hershey Chocolate,3.28,"Snack"
Walmart,2014-04-12,Scrubbers,0.98,"Cleaning"
Walmart,2014-04-12,Printer Ink,12.97,"House"
Walmart,2014-04-12,Canned Pears,1.88,"Canned Fruit"
Walmart,2014-04-12,Spaghetti,1.96,"Pasta"
Walmart,2014-04-12,Coke,3.94,"Soda"
Walmart,2014-04-12,Turkey,2.84,"Meat"
Walmart,2014-04-12,Cheese,2.44,"Cheese"
Walmart,2014-04-12,Honey Bunches of Oats,3.98,"Cereal"
Walmart,2014-04-12,Eggs,1.98,"Eggs"
Walmart,2014-04-12,TP,6.47,"Paper"
Walmart,2014-04-12,Sauce,4.36,"Pantry"
Walmart,2014-04-12,Canned Peaches,1.76,"Canned Fruit"
Walmart,2014-04-12,Tax,3.49,"Tax"
Target,2014-04-18,Hot Dogs,2.99,"Lunch"
Target,2014-04-18,Soup,0.75,"Soup"
Target,2014-04-18,Pasta,1.29,"Pasta"
Target,2014-04-18,Bread,1.79,"Bakery"
Target,2014-04-18,Ice Cream,2.29,"Dairy"
Target,2014-04-18,Pizza,9.18,"Frozen"
Target,2014-04-18,Ice Cream,2.99,"Ice Cream"
Target,2014-04-18,Tax,0.35,"Tax"
Target,2014-04-18,Savings,-1.06,"Savings"
Target,2014-04-19,Pizzas,9.18,"Pizza"
Target,2014-04-19,Junk,4.88,"Junk"
Target,2014-04-19,Card,4,"Misc"
Target,2014-04-19,Tax,0.87,"Tax"
Target,2014-04-19,Savings,-0.9,"Savings"
Walmart,2014-04-19,Bagels,2.98,"Bakery"
Walmart,2014-04-19,unk,3.68,"Misc"
Walmart,2014-04-19,Soda,0.84,"Soda"
Walmart,2014-04-19,Mayo,2.98,"Condiments"
Walmart,2014-04-19,Peanut Butter,2.78,"Spreads"
Walmart,2014-04-19,Orange Juice,2.68,"Juice"
Walmart,2014-04-19,Eggs,2.28,"Eggs"
Walmart,2014-04-19,oreos,2.98,"Cookies"
Walmart,2014-04-19,cream cheese,2.38,"Cheese"
Walmart,2014-04-19,1%472%381%472,2.28,"Dairy"
Walmart,2014-04-19,Toaster Strudel,4,"Frozen"
Walmart,2014-04-19,choc chips,3.76,"Baking"
Walmart,2014-04-19,Pasta,1.76,"Pantry"
Walmart,2014-04-19,peaches,0.88,"Pantry"
Walmart,2014-04-19,alfredo sauce,2.58,"Pantry"
Walmart,2014-04-19,pears,0.88,"Pantry"
Walmart,2014-04-19,rolls,2.12,"Bakery"
Walmart,2014-04-19,berries,1.5,"Breakfast"
Walmart,2014-04-19,Tax,1.01,"Tax"
Family Foods,2014-04-23,Deli Meal,4.49,"Deli"
Family Foods,2014-04-23,Salad,2.99,"Deli"
Family Foods,2014-04-23,Cheez-it,1,"Snack"
Family Foods,2014-04-23,water,1.96,"Water"
Family Foods,2014-04-23,cookies,1,"Snack"
Family Foods,2014-04-23,cookies,1,"Snack"
Family Foods,2014-04-23,Choc powder,7.89,"Misc"
Family Foods,2014-04-23,coke,1.79,"Soda"
Family Foods,2014-04-23,Apples,3.49,"Fruit"
Family Foods,2014-04-23,Apples,3.35,"Fruit"
Family Foods,2014-04-23,taffy apple,3.29,"Fruit"
Family Foods,2014-04-23,Tax,0.68,"Tax"
Family Foods,2014-04-25,choc chips,3.49,"Baking"
Family Foods,2014-04-25,milk,5.18,"Dairy"
Family Foods,2014-04-25,caramel chips,2.89,"Baking"
Family Foods,2014-04-25,coffee,15.29,"Coffee"
Family Foods,2014-04-25,coffee,15.29,"Coffee"
Family Foods,2014-04-25,crackers,4.69,"Snack"
Family Foods,2014-04-25,nuts,2.79,"Nuts"
Family Foods,2014-04-25,smores,3.49,"Snack"
Family Foods,2014-04-25,marshmallow,1.29,"Snack"
Family Foods,2014-04-25,Bananas,1.27,"Fruit"
Family Foods,2014-04-25,berries,2.99,"Fruit"
Family Foods,2014-04-25,block salt,16.76,"House"
Family Foods,2014-04-25,Tax,2.69,"Tax"
Walmart,2014-04-27,pepsi,4.28,"Soda"
Walmart,2014-04-27,coke,3.94,"Soda"
Walmart,2014-04-27,Honey Bunches of Oats,3.98,"Breakfast"
Walmart,2014-04-27,cheerios,3.24,"Cereal"
Walmart,2014-04-27,chips,2.68,"Snack"
Walmart,2014-04-27,Chicken,9.51,"Chicken"
Walmart,2014-04-27,rolls,2.98,"Bakery"
Walmart,2014-04-27,bagels,2.98,"Bagels"
Walmart,2014-04-27,a1,2.5,"Condiments"
Walmart,2014-04-27,ready whip,3.48,"Snack"
Walmart,2014-04-27,berries,3.88,"Fruit"
Walmart,2014-04-27,zuchini,1.58,"Produce"
Walmart,2014-04-27,turkey,2.98,"Meat"
Walmart,2014-04-27,Tax,1.3,"Tax"
Family Foods,2014-05-27,Milk,2.59,"Dairy"
Family Foods,2014-05-27,Milk,2.59,"Dairy"
Family Foods,2014-05-27,Grease,3.99,"Dairy"
Family Foods,2014-05-27,Grease,3.99,"Dairy"
Family Foods,2014-05-27,Ice Cream,2.99,"Dairy"
Family Foods,2014-05-27,Water,0.49,"Water"
Family Foods,2014-05-27,Water,0.49,"Water"
Family Foods,2014-05-27,Water,0.49,"Water"
Family Foods,2014-05-27,Kettle Cooked Chips,3.49,"Snack"
Family Foods,2014-05-27,Bacon,5.49,"Pork"
Family Foods,2014-05-27,Blueberries,2.44,"Fruit"
Family Foods,2014-05-27,Romaine Lettuce,1.69,"Produce"
Family Foods,2014-05-27,Yellow Onions,2.29,"Produce"
Family Foods,2014-05-27,Green Peppers,0.59,"Produce"
Family Foods,2014-05-27,Tomatoes,1.43,"Produce"
Family Foods,2014-05-27,Softener Salt,16.76,"House"
Family Foods,2014-05-27,Tax,2.23,"Tax"
Family Foods,2014-05-27,Savings,5.4,"Savings"
Target,2014-05-18,Battery,6.99,"Misc"
Target,2014-05-18,Kit-Kat,5.32,"Snack"
Target,2014-05-18,Twizzler,1.84,"Snack"
Target,2014-05-18,Deli,2.69,"Deli"
Target,2014-05-18,Turkey,2.69,"Meat"
Target,2014-05-18,Gevalia,5.49,"Coffee"
Target,2014-05-18,Strawberries,2,"Fruit"
Target,2014-05-18,Blueberries,3.99,"Fruit"
Target,2014-05-18,Crest Whitening,22.49,"Dental"
Target,2014-05-18,Tax,2.77,"Tax"
Target,2014-05-18,Savings,2.69,"Savings"
Walmart,2014-06-14,Frap,5.48,"Coffee"
Walmart,2014-06-14,Turkey,5.48,"Meat"
Walmart,2014-06-14,bacon jerky,2.98,"Snack"
Walmart,2014-06-14,Frozen Berries,3.88,"Fruit"
Walmart,2014-06-14,Bagels,2.98,"Bakery"
Walmart,2014-06-14,Outside Bird Food,19.88,"Pets"
Walmart,2014-06-14,Lawn Food,9.97,"House"
Walmart,2014-06-14,Bananas,0.64,"Fruit"
Walmart,2014-06-14,Batteries,4.97,"House"
Walmart,2014-06-14,GB Ultmt,8.47,"Misc"
Walmart,2014-06-14,Grass Seed,13.44,"House"
Walmart,2014-06-14,Tax,4.53,"Tax"
Family Foods,2014-07-05,Donuts,0.99,"Bakery"
Family Foods,2014-07-05,Donuts,3.49,"Bakery"
Family Foods,2014-07-05,Water,0.49,"Water"
Family Foods,2014-07-05,Water,0.49,"Water"
Family Foods,2014-07-05,Ranch Dressing,2.5,"Misc"
Family Foods,2014-07-05,BBQ Air Pops,2.99,"Snack"
Family Foods,2014-07-05,Potatoes,1.69,"Produce"
Family Foods,2014-07-05,Tax,0.22,"Tax"
Family Foods,2014-07-05,Savings,2.19,"Savings"
Walmart,2014-07-05,Bread,1.68,"Bread"
Walmart,2014-07-05,Bird Treat,1.12,"Pets"
Walmart,2014-07-05,Special K,2.78,"Breakfast"
Walmart,2014-07-05,Toaster Strudel,2,"Breakfast"
Walmart,2014-07-05,Toaster Strudel,2,"Breakfast"
Walmart,2014-07-05,Canned Peaches,1.18,"Canned Fruit"
Walmart,2014-07-05,Canned Pears,1.18,"Canned Fruit"
Walmart,2014-07-05,Bird Food,3.97,"Pets"
Walmart,2014-07-05,Cascade Diswasher soap,5.97,"Cleaning"
Walmart,2014-07-05,Spaghetti,1.28,"Pantry"
Walmart,2014-07-05,Spaghetti,1.28,"Pantry"
Walmart,2014-07-05,Pepsi,4.28,"Soda"
Walmart,2014-07-05,Coke,3,"Soda"
Walmart,2014-07-05,Bagels,2.98,"Bakery"
Walmart,2014-07-05,Sliced Turkey,5.48,"Lunch"
Walmart,2014-07-05,Raspberry Preserves,3.26,"Spreads"
